Timestamp,P1,P2,P15,P23
2024-01-01 00:00:00,122.314,1.04,28.179,-12.539
2024-01-01 01:00:00,122.314,1.04,28.179,-12.539
2024-01-01 02:00:00,161.232,1.496,37.384,-16.252
2024-01-01 03:00:00,208.49,1.868,48.374,-21.332
2024-01-01 04:00:00,294.665,2.696,68.569,-30.126
2024-01-01 05:00:00,388.392,2.349,88.691,-36.623
2024-01-01 06:00:00,405.425,1.547,89.532,-36.073
2024-01-01 07:00:00,400.478,1.149,89.002,-37.908
2024-01-01 08:00:00,395.116,0.735,88.581,-39.957
2024-01-01 09:00:00,382.026,0.728,87.843,-42.335
2024-01-01 10:00:00,366.073,1.845,86.266,-43.459
2024-01-01 11:00:00,330.801,1.714,78.192,-40.736
2024-01-01 12:00:00,300.223,1.499,70.362,-36.632
2024-01-01 13:00:00,300.223,1.499,70.362,-36.632
2024-01-01 14:00:00,319.681,1.572,75.174,-39.36
2024-01-01 15:00:00,366.073,1.845,86.266,-43.459
2024-01-01 16:00:00,389.083,0.85,88.516,-40.909
2024-01-01 17:00:00,404.469,0.681,89.195,-38.22
2024-01-01 18:00:00,408.33,1.072,89.461,-36.501
2024-01-01 19:00:00,400.851,1.481,88.933,-36.872
2024-01-01 20:00:00,381.738,2.1,87.59,-38.262
2024-01-01 21:00:00,303.005,2.613,70.355,-31.492
2024-01-01 22:00:00,225.168,1.709,51.947,-24.059
2024-01-01 23:00:00,177.911,1.336,40.956,-18.979
2024-01-02 00:00:00,122.314,1.04,28.179,-12.539
2024-01-02 01:00:00,122.314,1.04,28.179,-12.539
2024-01-02 02:00:00,161.232,1.496,37.384,-16.252
2024-01-02 03:00:00,208.49,1.868,48.374,-21.332
2024-01-02 04:00:00,294.665,2.696,68.569,-30.126
2024-01-02 05:00:00,388.392,2.349,88.691,-36.623
2024-01-02 06:00:00,405.425,1.547,89.532,-36.073
2024-01-02 07:00:00,400.478,1.149,89.002,-37.908
2024-01-02 08:00:00,395.116,0.735,88.581,-39.957
2024-01-02 09:00:00,382.026,0.728,87.843,-42.335
2024-01-02 10:00:00,366.073,1.845,86.266,-43.459
2024-01-02 11:00:00,330.801,1.714,78.192,-40.736
2024-01-02 12:00:00,300.223,1.499,70.362,-36.632
2024-01-02 13:00:00,300.223,1.499,70.362,-36.632
2024-01-02 14:00:00,319.681,1.572,75.174,-39.36
2024-01-02 15:00:00,366.073,1.845,86.266,-43.459
2024-01-02 16:00:00,389.083,0.85,88.516,-40.909
2024-01-02 17:00:00,404.469,0.681,89.195,-38.22
2024-01-02 18:00:00,408.33,1.072,89.461,-36.501
2024-01-02 19:00:00,400.851,1.481,88.933,-36.872
2024-01-02 20:00:00,381.738,2.1,87.59,-38.262
2024-01-02 21:00:00,303.005,2.613,70.355,-31.492
2024-01-02 22:00:00,225.168,1.709,51.947,-24.059
2024-01-02 23:00:00,177.911,1.336,40.956,-18.979
2024-01-03 00:00:00,122.314,1.04,28.179,-12.539
2024-01-03 01:00:00,122.314,1.04,28.179,-12.539
2024-01-03 02:00:00,161.232,1.496,37.384,-16.252
2024-01-03 03:00:00,208.49,1.868,48.374,-21.332
2024-01-03 04:00:00,294.665,2.696,68.569,-30.126
2024-01-03 05:00:00,388.392,2.349,88.691,-36.623
2024-01-03 06:00:00,405.425,1.547,89.532,-36.073
2024-01-03 07:00:00,400.478,1.149,89.002,-37.908
2024-01-03 08:00:00,395.116,0.735,88.581,-39.957
2024-01-03 09:00:00,382.026,0.728,87.843,-42.335
2024-01-03 10:00:00,366.073,1.845,86.266,-43.459
