LeakPipe,LeakArea,LeakDiameter(m),LeakType,StartTime,EndTime,PeakTime
P15,0.000616,0.028,abrupt,2024-01-08 04:00:00,2024-01-16 18:00:00,2024-01-08 04:00:00
P2,0.000755,0.031,incipient,2024-01-12 06:00:00,2024-01-22 12:00:00,2024-01-17 08:00:00
P33,0.000491,0.025,abrupt,2024-02-05 00:00:00,2024-02-14 20:00:00,2024-02-05 00:00:00
P30,0.001018,0.036,incipient,2024-03-01 12:00:00,2024-03-13 06:00:00,2024-03-07 18:00:00
P44,0.000661,0.029,abrupt,2024-04-10 08:00:00,2024-04-21 00:00:00,2024-04-10 08:00:00
P7,0.000855,0.033,incipient,2024-05-05 00:00:00,2024-05-17 06:00:00,2024-05-11 12:00:00
P22,0.000573,0.027,abrupt,2024-05-12 06:00:00,2024-05-22 18:00:00,2024-05-12 06:00:00
P41,0.001134,0.038,incipient,2024-06-18 00:00:00,2024-06-30 12:00:00,2024-06-24 06:00:00
P5,0.000707,0.03,abrupt,2024-07-10 06:00:00,2024-07-21 18:00:00,2024-07-10 06:00:00
P12,0.000962,0.035,incipient,2024-08-15 12:00:00,2024-08-28 06:00:00,2024-08-22 00:00:00
P18,0.000755,0.031,abrupt,2024-08-20 00:00:00,2024-08-31 18:00:00,2024-08-20 00:00:00
P3,0.000804,0.032,abrupt,2024-09-05 06:00:00,2024-09-15 12:00:00,2024-09-05 06:00:00
P9,0.000661,0.029,incipient,2024-10-12 12:00:00,2024-10-23 06:00:00,2024-10-18 12:00:00
P16,0.000452,0.024,abrupt,2024-11-01 06:00:00,2024-11-11 18:00:00,2024-11-01 06:00:00
P28,0.001075,0.037,incipient,2024-12-08 00:00:00,2024-12-18 18:00:00,2024-12-13 12:00:00
P36,0.000707,0.03,abrupt,2025-01-15 06:00:00,2025-01-26 12:00:00,2025-01-15 06:00:00
P8,0.000855,0.033,incipient,2025-02-05 00:00:00,2025-02-15 18:00:00,2025-02-10 06:00:00
P24,0.000531,0.026,abrupt,2025-02-10 06:00:00,2025-02-21 12:00:00,2025-02-10 06:00:00
P42,0.001134,0.038,incipient,2025-03-20 12:00:00,2025-03-30 18:00:00,2025-03-25 06:00:00
P6,0.000755,0.031,abrupt,2025-04-10 06:00:00,2025-04-21 12:00:00,2025-04-10 06:00:00
